name,address,trips,duration,price,average_rating
Nepal Eco Adventure Pvt Ltd,"Satghumti,Thamel , Kathmandu, Nepal, Nepal",28,7 days - 24 days,"US$ 600 - US$ 3,850",4.2
Sherpa Expedition and Trekking Pvt. Ltd,"Chaksibari Marga, Thamel , Kathmandu, Nepal",19,7 days - 26 days,"US$ 799 - US$ 2,899",3.4
Outshine Adventure Pvt Ltd,"Thamel, Kathmandu, Nepal",19,4 hours - 24 days,"US$ 166 - US$ 2,185",4.5
Nepal Horizon Treks & Expedition,"Thamel JP Marga , kathmandu , Nepal",8,10 days - 17 days,"US$ 646 - US$ 1,900",4.1
Alpine Ramble Treks,"Sorkhutte, Nayabazzar, , Kathmandu , Nepal",3,7 days - 12 days,"US$ 351 - US$ 1,008",4.7
Nepal Hiking Team,"Nayabazar, Kathmandu, Nepal",8,6 days - 17 days,"US$ 522 - US$ 1,330",3.8
Unique Path Trekking & Expedition (P) LTD.,"Thamel, kathmandu, Nepal",5,8 days - 15 days,US$ 698 - US$ 898,3.6
Ace the Himalaya,"Bhagwatibahal, Thamel, Kathmandu, Nepal",17,6 days - 17 days,"US$ 380 - US$ 2,090",4.2
Icicles Adventure Treks and Tours Pvt Ltd,"Puspalal Path, Khusibu, Naya Bazar-17, Kathmandu, Nepal, Nepal",21,5 days - 18 days,"US$ 370 - US$ 2,840",4
"Himalayan Leisure, Inc.","Dabali Marg, Thamel - 29, Kathmandu, Nepal",16,4 hours - 20 days,"US$ 428 - US$ 2,024",3.5
Green Valley Nepal Treks Pvt Ltd,"Thamel Road, Thamel, Kathmandu, Nepal",20,1 hour - 23 days,"US$ 76 - US$ 2,327",3.5
Trekking Planner (P.) Ltd,"Thamelmarg, Thamel, Kathmandu , Nepal",7,8 days - 18 days,"US$ 949 - US$ 1,329",4.1
Breakfree Adventures Pvt Ltd,"Maharajgung, Kathmandu, Nepal",24,1 hour - 21 days,"US$ 24 - US$ 2,470",4.2